PassengerId,Survived,Pclass,Sex,Age
892,0,3,male,34.5
893,1,3,female,47
894,0,2,male,62
895,0,3,male,27
896,1,3,female,22
897,0,3,male,14
898,1,3,female,30
899,0,2,male,26
900,1,3,female,18
901,0,3,male,21
902,0,3,male,
903,0,1,male,46
904,1,1,female,23
905,0,2,male,63
906,1,1,female,47
907,1,2,female,24
908,0,2,male,35
909,0,3,male,21
910,1,3,female,27
911,1,3,female,45
912,0,1,male,55
913,0,3,male,9
914,1,1,female,
915,0,1,male,21
916,1,1,female,48
917,0,3,male,50
918,1,1,female,22
919,0,3,male,22.5
920,0,1,male,41
921,0,3,male,
922,0,2,male,50
923,0,2,male,24
924,1,3,female,33
925,1,3,female,
926,0,1,male,30
927,0,3,male,18.5
928,1,3,female,
929,1,3,female,21
930,0,3,male,25
931,0,3,male,
932,0,3,male,39
933,0,1,male,
934,0,3,male,41
935,1,2,female,30
936,1,1,female,45
937,0,3,male,25
938,0,1,male,45
939,0,3,male,
940,1,1,female,60
941,1,3,female,36
942,0,1,male,24
943,0,2,male,27
944,1,2,female,20
945,1,1,female,28
946,0,2,male,
947,0,3,male,10
948,0,3,male,35
949,0,3,male,25
950,0,3,male,
951,1,1,female,36
952,0,3,male,17
953,0,2,male,32
954,0,3,male,18
955,1,3,female,22
956,0,1,male,13
957,1,2,female,
958,1,3,female,18
959,0,1,male,47
960,0,1,male,31
961,1,1,female,60
962,1,3,female,24
963,0,3,male,21
964,1,3,female,29
965,0,1,male,28.5
966,1,1,female,35
967,0,1,male,32.5
968,0,3,male,
969,1,1,female,55
970,0,2,male,30
971,1,3,female,24
972,0,3,male,6
973,0,1,male,67
974,0,1,male,49
975,0,3,male,
976,0,2,male,
977,0,3,male,
978,1,3,female,27
979,1,3,female,18
980,1,3,female,
981,0,2,male,2
982,1,3,female,22
983,0,3,male,
984,1,1,female,27
985,0,3,male,
986,0,1,male,25
987,0,3,male,25
988,1,1,female,76
989,0,3,male,29
990,1,3,female,20
991,0,3,male,33
992,1,1,female,43
993,0,2,male,27
994,0,3,male,
995,0,3,male,26
996,1,3,female,16
997,0,3,male,28
998,0,3,male,21
999,0,3,male,
1000,0,3,male,
1001,0,2,male,18.5
1002,0,2,male,41
1003,1,3,female,
1004,1,1,female,36
1005,1,3,female,18.5
1006,1,1,female,63
1007,0,3,male,18
1008,0,3,male,
1009,1,3,female,1
1010,0,1,male,36
1011,1,2,female,29
1012,1,2,female,12
1013,0,3,male,
1014,1,1,female,35
1015,0,3,male,28
1016,0,3,male,
1017,1,3,female,17
1018,0,3,male,22
1019,1,3,female,
1020,0,2,male,42
1021,0,3,male,24
1022,0,3,male,32
1023,0,1,male,53
1024,1,3,female,
1025,0,3,male,
1026,0,3,male,43
1027,0,3,male,24
1028,0,3,male,26.5
1029,0,2,male,26
1030,1,3,female,23
1031,0,3,male,40
1032,1,3,female,10
1033,1,1,female,33
1034,0,1,male,61
1035,0,2,male,28
1036,0,1,male,42
1037,0,3,male,31
1038,0,1,male,
1039,0,3,male,22
1040,0,1,male,
1041,0,2,male,30
1042,1,1,female,23
1043,0,3,male,
1044,0,3,male,60.5
1045,1,3,female,36
1046,0,3,male,13
1047,0,3,male,24
1048,1,1,female,29
1049,1,3,female,23
1050,0,1,male,42
1051,1,3,female,26
1052,1,3,female,
1053,0,3,male,7
1054,1,2,female,26
1055,0,3,male,
1056,0,2,male,41
1057,1,3,female,26
1058,0,1,male,48
1059,0,3,male,18
1060,1,1,female,
1061,1,3,female,22
1062,0,3,male,
1063,0,3,male,27
1064,0,3,male,23
1065,0,3,male,
1066,0,3,male,40
1067,1,2,female,15
1068,1,2,female,20
1069,0,1,male,54
1070,1,2,female,36
1071,1,1,female,64
1072,0,2,male,30
1073,0,1,male,37
1074,1,1,female,18
1075,0,3,male,
1076,1,1,female,27
1077,0,2,male,40
1078,1,2,female,21
1079,0,3,male,17
1080,1,3,female,
1081,0,2,male,40
1082,0,2,male,34
1083,0,1,male,
1084,0,3,male,11.5
1085,0,2,male,61
1086,0,2,male,8
1087,0,3,male,33
1088,0,1,male,6
1089,1,3,female,18
1090,0,2,male,23
1091,1,3,female,
1092,1,3,female,
1093,0,3,male,0.33
1094,0,1,male,47
1095,1,2,female,8
1096,0,2,male,25
1097,0,1,male,
1098,1,3,female,35
1099,0,2,male,24
1100,1,1,female,33
1101,0,3,male,25
1102,0,3,male,32
1103,0,3,male,
1104,0,2,male,17
1105,1,2,female,60
1106,1,3,female,38
1107,0,1,male,42
1108,1,3,female,
1109,0,1,male,57
1110,1,1,female,50
1111,0,3,male,
1112,1,2,female,30
1113,0,3,male,21
1114,1,2,female,22
1115,0,3,male,21
1116,1,1,female,53
1117,1,3,female,
1118,0,3,male,23
1119,1,3,female,
1120,0,3,male,40.5
1121,0,2,male,36
1122,0,2,male,14
1123,1,1,female,21
1124,0,3,male,21
1125,0,3,male,
1126,0,1,male,39
1127,0,3,male,20
1128,0,1,male,64
1129,0,3,male,20
1130,1,2,female,18
1131,1,1,female,48
1132,1,1,female,55
1133,1,2,female,45
1134,0,1,male,45
1135,0,3,male,
1136,0,3,male,
1137,0,1,male,41
1138,1,2,female,22
1139,0,2,male,42
1140,1,2,female,29
1141,1,3,female,
1142,1,2,female,0.92
1143,0,3,male,20
1144,0,1,male,27
1145,0,3,male,24
1146,0,3,male,32.5
1147,0,3,male,
1148,0,3,male,
1149,0,3,male,28
1150,1,2,female,19
1151,0,3,male,21
1152,0,3,male,36.5
1153,0,3,male,21
1154,1,2,female,29
1155,1,3,female,1
1156,0,2,male,30
1157,0,3,male,
1158,0,1,male,
1159,0,3,male,
1160,1,3,female,
1161,0,3,male,17
1162,0,1,male,46
1163,0,3,male,
1164,1,1,female,26
1165,1,3,female,
1166,0,3,male,
1167,1,2,female,20
1168,0,2,male,28
1169,0,2,male,40
1170,0,2,male,30
1171,0,2,male,22
1172,1,3,female,23
1173,0,3,male,0.75
